	shannon_entropy
14989.skin.hip.UTK.K016.02.2016.04.21.day9	2.764796691280321
14989.skin.hip.UTK.K016.02.2016.04.22.day10	3.3980355277859124
14989.skin.hip.UTK.K016.02.2016.04.23.day11	3.8591736669895846
14989.skin.hip.UTK.K016.02.2016.04.24.day12	3.863745257456328
14989.skin.hip.UTK.K016.02.2016.04.25.day13	4.6991704682836435
14989.skin.hip.UTK.K016.02.2016.04.26.day14	4.24417716349897
14989.skin.hip.UTK.K016.02.2016.04.27.day15	4.238780626453322
14989.skin.hip.UTK.K016.02.2016.04.28.day16	3.992533521851583
14989.skin.hip.UTK.K016.02.2016.04.29.day17	3.849996895027832
14989.skin.hip.UTK.K016.02.2016.04.30.day18	3.6810770558871706
14989.skin.hip.UTK.K016.02.2016.05.01.day19	3.761904765432072
14989.skin.hip.UTK.K016.02.2016.05.02.day20	3.635146269247648
14989.skin.hip.UTK.K016.02.2016.05.03.day21	2.930462236891853
14989.skin.hip.UTK.K016.03.2016.05.08.day3	5.418140904185178
14989.skin.hip.UTK.K016.03.2016.05.09.day4	6.629659394855353
14989.skin.hip.UTK.K016.03.2016.05.10.day5	6.382101164386786
14989.skin.hip.UTK.K016.03.2016.05.11.day6	6.442105857260681
14989.skin.hip.UTK.K016.03.2016.05.13.day8	4.44501348996634
14989.skin.hip.UTK.K016.03.2016.05.14.day9	3.896725671681287
14989.skin.hip.UTK.K016.03.2016.05.15.day10	3.617613997259228
14989.skin.hip.UTK.K016.03.2016.05.16.day11	4.169103954206711
14989.skin.hip.UTK.K016.03.2016.05.17.day12	4.26807814619181
14989.skin.hip.UTK.K016.03.2016.05.18.day13	4.753825752779988
14989.skin.hip.UTK.K016.03.2016.05.19.day14	4.276339261811847
14989.skin.hip.UTK.K016.03.2016.05.20.day15	4.476882054112757
14989.skin.hip.UTK.K016.03.2016.05.21.day16	3.968909082697025
14989.skin.hip.UTK.K016.03.2016.05.22.day17	4.235132102972221
14989.skin.hip.UTK.K016.03.2016.05.23.day18	4.18485773422203
14989.skin.hip.UTK.K016.03.2016.05.24.day19	4.431898754412381
14989.skin.hip.UTK.K016.03.2016.05.25.day20	4.601425369930427
14989.skin.hip.UTK.K016.03.2016.05.26.day21	4.22936381182783
14989.soil.hip.CMU.16.03.2016.3.day10	4.829991649312843
14989.soil.hip.CMU.16.03.2016.3.day15	6.304943185994757
14989.soil.hip.CMU.16.04.2016.mo.day19	3.501705242518686
14989.soil.hip.SHSU.2016.007.2016.04.19.day5	4.664605966343092
14989.soil.hip.SHSU.2016.007.2016.04.22.day8	5.146722671350315
14989.soil.hip.SHSU.2016.007.2016.04.23.day9	4.989550964853339
14989.soil.hip.SHSU.2016.007.2016.04.24.day10	5.428397275961083
14989.soil.hip.SHSU.2016.007.2016.04.25.day11	4.777099803603483
14989.soil.hip.SHSU.2016.007.2016.04.26.day12	5.161319412493542
14989.soil.hip.SHSU.2016.007.2016.04.27.day13	5.558724099872448
14989.soil.hip.SHSU.2016.007.2016.04.28.day14	6.214186386150779
14989.soil.hip.SHSU.2016.007.2016.04.29.day15	5.4491539676393455
14989.soil.hip.SHSU.2016.007.2016.04.30.day16	6.122779162368411
14989.soil.hip.SHSU.2016.007.2016.05.01.day17	5.136094137078798
14989.soil.hip.SHSU.2016.007.2016.05.02.day18	4.826729679791486
14989.soil.hip.SHSU.2016.007.2016.05.03.day19	4.147975731828099
14989.soil.hip.SHSU.2016.007.2016.05.04.day20	6.1051966759135246
14989.soil.hip.SHSU.2016.007.2016.05.05.day21	4.894959056275802
14989.soil.hip.SHSU.2016.011.2016.04.19.day5	3.607530757035143
14989.soil.hip.SHSU.2016.011.2016.04.22.day8	3.639080694283554
14989.soil.hip.SHSU.2016.011.2016.04.23.day9	4.002390068736878
14989.soil.hip.SHSU.2016.011.2016.04.24.day10	4.1183462653470455
14989.soil.hip.SHSU.2016.011.2016.04.25.day11	4.939305473011538
14989.soil.hip.SHSU.2016.011.2016.04.26.day12	4.991427033647397
14989.soil.hip.SHSU.2016.011.2016.04.27.day13	5.073460848515515
14989.soil.hip.SHSU.2016.011.2016.04.28.day14	5.25949005937854
14989.soil.hip.SHSU.2016.011.2016.04.29.day15	5.324896673419543
14989.soil.hip.SHSU.2016.011.2016.04.30.day16	5.985952951212604
14989.soil.hip.SHSU.2016.011.2016.05.01.day17	4.9856251876236835
